PK,BARRIO
6498,UNIVERSIDAD
190276,PEÑA GRANDE
39592,PROSPERIDAD
10157908,ARAVACA
10514755,PAVONES
18595,PALOMERAS BAJAS
10157995,VALVERDE
4078,JUSTICIA
10157362,CIUDAD JARDIN
190219,CASCO H.VALLECAS
18568,PALOS DE MOGUER
10157937,RECOLETOS
10514428,PROSPERIDAD
29398,CIUDAD UNIVERSITARIA
18583,CIUDAD UNIVERSITARIA
190236,PALOMERAS BAJAS
18584,LISTA
29408,VISTA ALEGRE
5901006,ALMAGRO
10157571,ENSANCHE DE VALLECAS
190323,GOYA
4079,ARGUELLES
5900953,ALUCHE
5901083,BELLAS VISTAS
18578,ALMAGRO
10157486,GAZTAMBIDE
10157414,VALVERDE
5901363,PORTAZGO
5900366,LOS CARMENES
6337113,UNIVERSIDAD
23510,CASTILLA
190305,CONCEPCION
190388,PUERTA DEL ANGEL
10514654,PALACIO
18572,MEDIA LEGUA
11452218,OPAÑEL
11211147,ALUCHE
5901381,PUERTA BONITA
6825,CIUDAD UNIVERSITARIA
8157392,
10649679,ARAVACA
10513108,EL VISO
10683740,ARAVACA
5247718,SANTA EUGENIA
10513260,EL VISO
62522,ROSAS
11020690,EL CAÑAVERAL
10892480,MIRASIERRA
5399592,COSTILLARES
10683482,PIOVERA
10513570,PALOMERAS BAJAS
10389300,ARCOS
5145458,DELICIAS
11047409,ESTRELLA
10389462,VALVERDE
10914277,ENSANCHE DE VALLECAS
10573098,PROSPERIDAD
10494524,PIOVERA
10546451,VALVERDE
10970537,TIMON
62217,EL VISO
10791922,BELLAS VISTAS
10756497,EL GOLOSO
5399221,CASCO H.VALLECAS
10683731,BUENAVISTA
10124515,CUATRO CAMINOS
10683504,NIÑO JESUS
54291,CANILLAS
10683657,EL SALVADOR
10620238,TIMON
4890144,SAN DIEGO
134214,HISPANOAMERICA
6451110,SIMANCAS
7076050,LA PAZ
5360,LAS AGUILAS
5361,GAZTAMBIDE
7251628,REJAS
7519017,EL VISO
6021,ALUCHE
6151244,SIMANCAS
5894,ACACIAS
106070,MIRASIERRA
5061,PALOMERAS SURESTE
5094142,CAMPAMENTO
5370,PUEBLO NUEVO
104515,ARGUELLES
5301107,ARGUELLES
8161607,EL GOLOSO
73981,ALUCHE
53866,NIÑO JESUS
5539,ALAMEDA DE OSUNA
4689857,NIÑO JESUS
4689826,NIÑO JESUS
5928,VENTAS
166144,MEDIA LEGUA
5382722,MEDIA LEGUA
4940671,VISTA ALEGRE
5380,ALUCHE
103611,PALOMAS
54309,ALUCHE
5360777,LUCERO
5953,SAN ANDRES
23111,MEDIA LEGUA
104310,LUCERO
23134,CASCO H.VALLECAS
5874,CAMPAMENTO
5391793,SAN PASCUAL
5247775,EL GOLOSO
5391709,ALMENARA
178919,VALDEFUENTES
134164,ACACIAS
5114461,VISTA ALEGRE
6001,ENTREVIAS
6165523,GUINDALERA
10494393,PIOVERA
174538,NIÑO JESUS
5353,ARAVACA
4702058,CIUDAD UNIVERSITARIA
6151194,ORCASITAS
10968046,PIOVERA
4693125,EL GOLOSO
4725170,ORCASUR
5973,VALDEZARZA
178421,CONCEPCION
134258,VALDEZARZA
179730,SIMANCAS
5784844,VALVERDE
5102856,VALDEMARIN
5055,ORCASUR
5451,PROSPERIDAD
62444,COSTILLARES
4666369,LEGAZPI
8158558,DELICIAS
5639,MARROQUINA
4702887,CIUDAD UNIVERSITARIA
62367,PUERTA BONITA
190711,TRAFALGAR
5044,LUCERO
5548,ARAPILES
180949,MEDIA LEGUA
180946,BERRUGUETE
4724285,LISTA
5299892,PALOS DE MOGUER
4724287,BUENAVISTA
180958,PINAR DEL REY
6802335,CASCO H.VALLECAS
167564,ACACIAS
5391701,PUERTA BONITA
134510,SIMANCAS
5114562,HISPANOAMERICA
5391687,VISTA ALEGRE
174530,ACACIAS
4735838,PROSPERIDAD
5196287,EL VISO
4689875,OPAÑEL
5227,CASTILLA
6799707,LOS ROSALES
5711521,LOS ROSALES
5975,UNIVERSIDAD
5500,EL PILAR
5035282,CORTES
181003,EL PILAR
134169,LEGAZPI
8161671,CASCO H.VALLECAS
6009,FONTARRON
5335,EL VISO
5236150,ARGUELLES
5388944,PALACIO
5885,PALACIO
5784991,LISTA
178882,CANILLAS
7693454,CANILLAS
181011,PALOMERAS SURESTE
5844,GUINDALERA
5785131,VISTA ALEGRE
4689360,NIÑO JESUS
6526664,HISPANOAMERICA
6526674,CANILLAS
5027288,CUATRO CAMINOS
5027289,RIOS ROSAS
5362709,RIOS ROSAS
5929,CONCEPCION
62446,QUINTANA
8158592,DELICIAS
