,price,house_type,house_type_2,rooms,m2,elevator,garage,neighborhood,district
420,647000,planta 1,exterior,2,79.0,1,0,Palacio,centro
421,3500000,planta 1,exterior,5,310.0,1,1,El Viso,chamartin
422,260000,planta 3,exterior,0,33.0,1,0,Argüelles,moncloa
423,670000,planta 2,exterior,1,97.0,1,0,Lista,salamanca
424,419360,planta 7,exterior,1,52.0,1,0,El Viso,chamartin
425,219000,planta 4,exterior,2,58.0,1,0,Embajadores,centro
426,450000,planta 1,interior,4,121.0,1,0,Quintana,ciudad lineal
427,239900,planta 1,exterior,2,55.0,1,0,Bellas Vistas,tetuan
428,590000,planta 2,exterior,3,80.0,1,0,Cortes,centro
429,1790000,planta 5,interior,3,114.0,1,0,Recoletos,salamanca
430,979000,planta 2,exterior,4,109.0,1,0,Sol,centro
432,1450000,planta 1,exterior,2,133.0,1,1,Justicia,centro
433,1850000,planta 7,exterior,7,302.0,1,1,Valdefuentes,hortaleza
434,695000,planta 4,exterior,3,137.0,1,1,Canillas,hortaleza
435,956000,planta 1,exterior,3,150.0,1,0,Palacio,centro
436,825000,planta 2,exterior,4,164.0,1,0,Universidad,centro
439,2300000,casa,exterior,5,265.0,1,1,El Viso,chamartin
440,640000,planta 3,exterior,4,136.0,1,1,Mirasierra,fuencarral
441,399000,planta 2,exterior,1,70.0,1,1,Piovera,hortaleza
442,1195000,planta 5,exterior,2,134.0,1,0,Cortes,centro
443,1300000,planta 1,exterior,3,179.0,1,1,Piovera,hortaleza
444,1150000,planta 1,exterior,4,196.0,1,1,Piovera,hortaleza
445,2100000,planta 8,exterior,4,450.0,1,1,Mirasierra,fuencarral
446,1490000,bajo,exterior,4,216.0,1,1,Piovera,hortaleza
447,790000,planta 2,exterior,6,167.0,1,0,Cortes,centro
450,740000,planta 1,exterior,2,90.0,1,0,Sol,centro
453,2200000,planta 4,exterior,7,537.0,1,1,Atalaya,ciudad lineal
454,479900,planta 1,exterior,4,143.0,1,0,Chopera,arganzuela
456,320000,bajo,exterior,1,37.0,1,0,Castilla,chamartin
457,650000,bajo,exterior,2,86.0,1,1,Ciudad Jardín,chamartin
458,1350000,planta 7,exterior,2,138.0,1,0,Trafalgar,chamberi
459,875000,planta 1,interior,3,149.0,1,0,Ibiza,retiro
461,1189000,planta 3,exterior,2,151.0,1,0,Palacio,centro
462,1450000,planta 1,exterior,4,218.0,1,1,Ciudad Universitaria,moncloa
463,1045000,planta 1,exterior,3,229.0,1,1,Aravaca,moncloa
466,1175000,planta 15,exterior,3,165.0,1,1,Cuatro Caminos,tetuan
467,2100000,planta 5,exterior,5,330.0,1,1,Hispanoamérica,chamartin
468,1180000,planta 5,exterior,3,139.0,1,0,Goya,salamanca
469,1475000,planta 2,exterior,5,376.0,1,1,Castillejos,tetuan
471,1490000,planta 3,exterior,5,186.0,1,1,Goya,salamanca
472,1675000,planta 3,exterior,4,232.0,1,0,Lista,salamanca
473,1250000,planta 4,exterior,2,110.0,1,1,Recoletos,salamanca
474,184900,planta 3,exterior,2,50.0,1,0,Pueblo Nuevo,ciudad lineal
475,174900,planta 4,exterior,2,50.0,1,0,Simancas,san-blas
476,682000,planta 10,exterior,3,133.0,1,1,Apóstol Santiago,hortaleza
477,698000,planta 2,exterior,3,125.0,1,1,Costillares,ciudad lineal
478,1300000,planta 1,exterior,5,199.0,1,0,Goya,salamanca
479,1200000,planta 3,exterior,2,100.0,1,0,Lista,salamanca
480,680000,planta 1,interior,2,117.0,1,0,Castellana,salamanca
481,2200000,planta 8,exterior,4,257.0,1,1,Castellana,salamanca
482,790000,planta 1,exterior,5,135.0,1,0,Goya,salamanca
483,1450000,planta 1,exterior,3,133.0,1,0,Goya,salamanca
484,1190000,planta 1,exterior,3,135.0,1,0,Castellana,salamanca
485,1850000,planta 6,exterior,4,248.0,1,1,Universidad,centro
486,290000,planta 2,exterior,1,80.0,1,1,Simancas,san-blas
487,299000,planta 2,exterior,1,49.0,1,0,Castillejos,tetuan
489,250000,planta 1,exterior,2,97.0,1,1,Butarque,villaverde
490,165000,bajo,interior,1,35.0,1,0,Bellas Vistas,tetuan
491,249000,planta 1,exterior,2,85.0,1,0,Aluche,latina
492,1975000,chalet,exterior,4,350.0,0,1,San Juan Bautista,ciudad lineal
493,1800000,planta 2,exterior,5,268.0,1,1,El Viso,chamartin
494,749000,planta 5,exterior,3,92.0,1,0,Trafalgar,chamberi
495,1690000,planta 6,exterior,5,252.0,1,1,Hispanoamérica,chamartin
496,850000,planta 7,interior,2,115.0,1,0,Arapiles,chamberi
497,550000,planta 5,exterior,3,103.0,1,0,Pacífico,retiro
498,1150000,planta 1,exterior,3,133.0,1,0,Universidad,centro
499,1450000,planta 3,interior,3,139.0,1,0,Goya,salamanca
500,425000,planta 1,exterior,1,55.0,1,1,Hispanoamérica,chamartin
501,330000,planta 3,interior,3,65.0,1,0,Pacífico,retiro
502,2800000,planta 2,exterior,6,332.0,1,1,Hispanoamérica,chamartin
503,735000,planta 5,exterior,2,88.0,1,0,Hispanoamérica,chamartin
504,600000,planta 4,exterior,3,90.0,1,0,Guindalera,salamanca
505,1375000,planta 3,exterior,4,247.0,1,1,El Viso,chamartin
506,2300000,planta 7,exterior,4,278.0,1,1,Nueva España,chamartin
507,690000,planta 5,interior,2,70.0,1,0,Justicia,centro
508,1780000,planta 2,exterior,4,212.0,1,1,Nueva España,chamartin
509,1300000,planta 3,exterior,4,235.0,1,1,Gaztambide,chamberi
510,1040000,planta 4,exterior,3,130.0,1,0,Ibiza,retiro
512,3200000,planta 3,exterior,4,354.0,1,1,El Viso,chamartin
514,990000,planta 2,exterior,2,109.0,1,1,Castellana,salamanca
515,1680000,planta 3,exterior,3,186.0,1,0,Almagro,chamberi
516,600000,planta 13,exterior,4,123.0,1,0,Castilla,chamartin
517,2490000,planta 5,interior,4,200.0,1,0,Recoletos,salamanca
518,595000,planta 4,exterior,2,82.0,1,0,Prosperidad,chamartin
519,2095000,planta 1,exterior,3,184.0,1,0,Almagro,chamberi
520,470000,planta 1,exterior,2,107.0,1,0,Hispanoamérica,chamartin
521,1300000,planta 3,exterior,4,235.0,1,1,Gaztambide,chamberi
522,1300000,planta 6,exterior,5,209.0,1,0,Hispanoamérica,chamartin
523,1700000,planta 2,interior,5,377.0,1,0,Almagro,chamberi
524,380000,planta 4,exterior,1,48.0,1,0,Guindalera,salamanca
525,738000,planta 1,exterior,3,107.0,1,0,Hispanoamérica,chamartin
526,650000,planta 2,exterior,3,105.0,1,0,Universidad,centro
527,2130000,chalet,exterior,5,372.0,0,1,Hispanoamérica,chamartin
528,1050000,planta 3,exterior,5,202.0,1,0,Castillejos,tetuan
529,545000,planta 3,exterior,1,55.0,1,0,Palacio,centro
530,1850000,planta 4,exterior,4,250.0,1,0,Justicia,centro
531,1350000,planta 2,exterior,2,169.0,1,1,Nueva España,chamartin
532,1700000,planta 3,exterior,4,220.0,1,1,Goya,salamanca
534,1490000,bajo,exterior,4,216.0,1,1,Piovera,hortaleza
535,490000,bajo,exterior,1,80.0,1,1,Ciudad Universitaria,moncloa
