price,house_type,house_type_2,rooms,m2,elevator,garage,neighborhood,district
340000,planta 4,exterior,2,120.0,1,0,Alameda de Osuna,barajas
359000,planta 3,exterior,4,101.0,1,0,Alameda de Osuna,barajas
435000,planta 1,exterior,4,130.0,1,0,Alameda de Osuna,barajas
350000,planta 4,exterior,3,105.0,1,0,Alameda de Osuna,barajas
395000,planta 6,exterior,4,131.0,1,0,Alameda de Osuna,barajas
345000,bajo,exterior,2,104.0,1,0,Alameda de Osuna,barajas
162000,planta 2,interior,1,46.0,1,0,Casco Histórico de Barajas,barajas
395000,planta 2,exterior,2,108.0,1,0,Corralejos,barajas
305000,bajo,,3,112.0,1,0,Alameda de Osuna,barajas
392600,planta 2,exterior,2,111.0,1,0,Timón,barajas
329000,entreplanta,exterior,3,120.0,1,0,Alameda de Osuna,barajas
390000,planta 1,exterior,3,116.0,1,0,Alameda de Osuna,barajas
345000,planta 2,exterior,3,100.0,1,0,Alameda de Osuna,barajas
480000,planta 4,exterior,3,120.0,1,0,Alameda de Osuna,barajas
510000,planta 7,exterior,3,118.0,1,0,Alameda de Osuna,barajas
435000,planta 2,interior,1,60.0,1,0,Goya,barrio de salamanca
1450000,planta 5,exterior,2,146.0,1,0,Goya,barrio de salamanca
1125000,planta 1,exterior,4,162.0,1,0,Castellana,barrio de salamanca
325000,planta 1,exterior,1,45.0,1,0,Goya,barrio de salamanca
570000,planta 5,exterior,2,60.0,1,0,Recoletos,barrio de salamanca
1300000,entreplanta,exterior,5,181.0,1,0,Recoletos,barrio de salamanca
690000,planta 6,interior,1,91.0,1,0,Recoletos,barrio de salamanca
670000,planta 7,exterior,2,103.0,1,0,Lista,barrio de salamanca
655000,bajo,exterior,2,80.0,1,0,Goya,barrio de salamanca
595000,planta 1,interior,3,75.0,1,0,Castellana,barrio de salamanca
1295000,planta 1,exterior,3,232.0,1,0,Goya,barrio de salamanca
875000,planta 4,exterior,4,149.0,1,0,Goya,barrio de salamanca
820000,planta 3,exterior,3,134.0,1,0,Lista,barrio de salamanca
870000,planta 1,exterior,5,183.0,1,0,Goya,barrio de salamanca
335000,entreplanta,exterior,2,62.0,1,0,Guindalera,barrio de salamanca
760000,planta 3,exterior,2,104.0,1,0,Goya,barrio de salamanca
849000,planta 6,exterior,2,86.0,1,0,Castellana,barrio de salamanca
420000,semi-sotano,exterior,2,119.0,1,0,Goya,barrio de salamanca
450000,planta 6,exterior,3,84.0,1,0,Guindalera,barrio de salamanca
460000,planta 5,interior,1,60.0,1,0,Castellana,barrio de salamanca
298000,planta 4,exterior,1,57.0,1,0,Guindalera,barrio de salamanca
1100000,planta 5,exterior,4,209.0,1,0,Castellana,barrio de salamanca
1350000,planta 5,exterior,4,292.0,1,0,Goya,barrio de salamanca
998000,planta 5,exterior,4,282.0,1,0,Guindalera,barrio de salamanca
685000,bajo,interior,2,166.0,1,0,Goya,barrio de salamanca
