sq_mt_built,n_rooms,n_bathrooms,is_exact_address_hidden,floor,is_floor_under,rent_price,buy_price_by_area,is_renewal_needed,is_new_development,has_central_heating,has_individual_heating,has_ac,has_fitted_wardrobes,has_lift,is_exterior,energy_certificate,has_parking,is_orientation_north,is_orientation_west,is_orientation_south,is_orientation_east,built_year,neighbourhood,district,house_type
98.0,3,2.0,1,zero,1.0,1111,2716,0,0.0,0.0,1.0,0,1,1.0,1.0,in process,1,0.0,1.0,0.0,0.0,2020.0,Butarque 131,Villaverde 21,Apartment
97.0,3,2.0,1,zero,1.0,1100,2701,0,0.0,0.0,1.0,1,1,1.0,1.0,in process,1,,,,,2020.0,Butarque 131,Villaverde 21,Apartment
111.0,3,2.0,1,seven,0.0,1194,2681,0,0.0,0.0,1.0,1,1,1.0,1.0,in process,1,,,,,2020.0,Butarque 131,Villaverde 21,Penthouse
99.0,3,2.0,1,three,0.0,1071,2541,0,0.0,0.0,1.0,1,1,1.0,1.0,in process,1,0.0,1.0,0.0,0.0,2020.0,Butarque 131,Villaverde 21,Apartment
77.0,3,1.0,1,one,0.0,598,1474,1,0.0,,,0,0,0.0,1.0,in process,0,1.0,0.0,0.0,0.0,1968.0,Los Rosales 133,Villaverde 21,Apartment
85.0,3,1.0,0,four,0.0,698,1624,0,0.0,0.0,1.0,0,0,0.0,1.0,in process,0,,,,,1966.0,San Andrés 134,Villaverde 21,Apartment
90.0,3,2.0,0,two,0.0,994,2500,0,0.0,,,1,1,1.0,1.0,in process,1,,,,,,Butarque 131,Villaverde 21,Apartment
133.0,2,1.0,0,six,0.0,1105,1985,0,0.0,0.0,1.0,1,1,1.0,1.0,C,1,,,,,2003.0,Los Rosales 133,Villaverde 21,Apartment
60.0,3,1.0,1,two,0.0,531,1638,0,0.0,0.0,1.0,0,0,0.0,1.0,F,0,,,,,1960.0,Los Rosales 133,Villaverde 21,Apartment
133.0,3,3.0,1,seven,0.0,1135,2068,0,0.0,0.0,1.0,0,1,1.0,1.0,D,0,,,,,2004.0,Butarque 131,Villaverde 21,Apartment
85.0,2,1.0,1,two,0.0,642,1459,0,0.0,0.0,1.0,1,0,0.0,1.0,F,0,0.0,0.0,1.0,1.0,1967.0,San Andrés 134,Villaverde 21,Apartment
59.0,2,2.0,0,three,0.0,797,2788,0,1.0,,,0,1,1.0,1.0,not indicated,1,,,,,,Los Ángeles 132,Villaverde 21,Apartment
59.0,2,2.0,0,one,0.0,796,2787,0,1.0,,,0,1,1.0,1.0,not indicated,1,,,,,,Los Ángeles 132,Villaverde 21,Apartment
58.0,2,2.0,0,four,0.0,800,2852,0,1.0,,,0,1,1.0,1.0,not indicated,1,,,,,,Los Ángeles 132,Villaverde 21,Apartment
79.0,3,2.0,0,one,0.0,925,2565,0,1.0,,,0,1,1.0,1.0,not indicated,1,,,,,,Los Ángeles 132,Villaverde 21,Apartment
60.0,2,2.0,0,zero,1.0,796,2737,0,1.0,,,0,1,1.0,1.0,not indicated,1,,,,,,Los Ángeles 132,Villaverde 21,Apartment
121.0,3,2.0,0,three,0.0,1094,2149,0,0.0,0.0,1.0,1,1,1.0,1.0,not indicated,1,1.0,0.0,0.0,1.0,2001.0,Los Rosales 133,Villaverde 21,Apartment
126.0,3,2.0,0,two,0.0,1187,2340,0,1.0,,,0,1,1.0,1.0,not indicated,1,,,,,,San Andrés 134,Villaverde 21,Apartment
134.0,4,2.0,0,one,0.0,1250,2387,0,1.0,,,0,1,1.0,1.0,not indicated,1,,,,,,San Andrés 134,Villaverde 21,Apartment
111.0,3,2.0,0,one,0.0,1094,2341,0,1.0,,,0,1,1.0,1.0,not indicated,1,,,,,,San Andrés 134,Villaverde 21,Apartment
122.0,3,2.0,0,two,0.0,1164,2343,0,1.0,,,0,1,1.0,1.0,not indicated,1,,,,,,San Andrés 134,Villaverde 21,Apartment
